open,close,date
2046.62,2017.46,2022-07-22
2052.95,2044.72,2022-07-21
2046.21,2050.59,2022-07-20
2029.71,2045.7,2022-07-19
2011.71,2029.43,2022-07-18
2010.92,2011.4,2022-07-17
2002.96,2009.46,2022-07-15
1987.32,2001.53,2022-07-14
1928.5,1986.82,2022-07-13
1916.41,1927.28,2022-07-12
1993.33,1915.61,2022-07-11
2031.87,1992.62,2022-07-08
2051.5,2027.32,2022-07-07
2036.46,2043.92,2022-07-06
2078.63,2030.59,2022-07-05
2095.62,2076.67,2022-07-04
2028.79,2086.42,2022-07-03
2041.94,2028.77,2022-07-01
1966.86,2037.64,2022-06-30
1925.74,1962.71,2022-06-29
1935.54,1921.31,2022-06-28
1967.3,1933.13,2022-06-27
1863.47,1956.98,2022-06-26
1848.38,1862.06,2022-06-24
1889.4,1848.28,2022-06-23
1925.46,1893.53,2022-06-22
1884.25,1924.74,2022-06-21
1934.03,1884.81,2022-06-20
1971.84,1934.11,2022-06-19
1981.21,1971.38,2022-06-17
1966.89,1978.94,2022-06-16
1999.05,1966.37,2022-06-15
2032.53,1996.26,2022-06-14
2049.31,2032.34,2022-06-13
2067.76,2048.16,2022-06-10
2082.45,2062.81,2022-06-09
2019.54,2080.45,2022-06-08
2065.19,2020.23,2022-06-07
2079.6,2065.82,2022-06-06
2113.13,2078.71,2022-06-03
2130.35,2112.47,2022-06-02
2138.06,2130.73,2022-06-01
2172.02,2137.92,2022-05-31
2227.43,2173.44,2022-05-30
2242.46,2223.78,2022-05-27
2240.61,2239.6,2022-05-26
2222.49,2231.57,2022-05-25
2203.14,2217.19,2022-05-24
2241.26,2200.88,2022-05-23
2251.49,2235.09,2022-05-20
2274.8,2250.91,2022-05-19
2262.99,2274.42,2022-05-18
2350.43,2265.52,2022-05-17
2373.38,2350.42,2022-05-12
2313.28,2369.06,2022-05-11
2269.36,2313,2022-05-10
2263.06,2268.85,2022-05-09
2238.81,2256.58,2022-05-08
2275.43,2238.62,2022-05-05
2310.51,2275.69,2022-05-04
2358.24,2307.44,2022-05-02
2380.16,2356.17,2022-04-28
2373.1,2376.17,2022-04-27
2386.04,2370.99,2022-04-26
2423.74,2386.02,2022-04-25
2331.51,2420.97,2022-04-24
2327.08,2325.45,2022-04-21
2364.47,2320.52,2022-04-20
2347.21,2357.25,2022-04-19
2386.66,2343.87,2022-04-18
2422.34,2385.65,2022-04-17
2385.24,2415.25,2022-04-13
2424.71,2385.01,2022-04-12
2471.81,2419.8,2022-04-11
2427.97,2464.36,2022-04-07
2451.81,2428.66,2022-04-06
2507.77,2452.07,2022-04-05
2517.41,2498.53,2022-04-04
2544.48,2513.42,2022-04-03
2568.76,2544.31,2022-03-31
2527.77,2568.26,2022-03-30
2542.65,2527.58,2022-03-29
2574.12,2541.84,2022-03-28
2623.2,2572.26,2022-03-27
2630.93,2613.67,2022-03-24
2651.41,2630.36,2022-03-23
2634.42,2650.7,2022-03-22
2620.13,2634.66,2022-03-21
2634.11,2616.59,2022-03-20
2653.57,2631.25,2022-03-16
2673.55,2650.97,2022-03-15
2677.97,2668.11,2022-03-14
2575.27,2667.97,2022-03-13
2512.04,2566.9,2022-03-10
2542.42,2514.58,2022-03-09
2542.66,2544.94,2022-03-07
2542.57,2543.39,2022-03-06
2612.51,2547.04,2022-03-02
2662.26,2610.58,2022-02-28
2660.39,2653.7,2022-02-27
2715.44,2661.44,2022-02-24
2732.48,2720.43,2022-02-23
2719.89,2735.93,2022-02-22
2695.26,2718.51,2022-02-21
2713.52,2693.1,2022-02-20
2735.33,2732.51,2022-02-17
2759.37,2734.44,2022-02-16
2703.35,2754.29,2022-02-15
2697.37,2700.98,2022-02-14
2783.89,2700.89,2022-02-13
2813.33,2801.56,2022-02-10
2837.33,2813.52,2022-02-09
2877.58,2835.58,2022-02-08
2834.26,2851.88,2022-02-07
2877.04,2836.17,2022-02-06
2898.61,2876.74,2022-02-03
2875.74,2891.33,2022-02-01
2895.77,2872.05,2022-01-31
2805.01,2885.53,2022-01-30
2778.89,2779.98,2022-01-27
2817.17,2776.65,2022-01-26
2827.75,2815.06,2022-01-25
2926.12,2820.65,2022-01-24
2942.97,2920.51,2022-01-23
2901.51,2931.34,2022-01-20
2945.63,2898.31,2022-01-19
2953.11,2936.66,2022-01-18
2944.92,2947.43,2022-01-17
2873.42,2926.74,2022-01-16
2808.8,2857.75,2022-01-13
2839.87,2803.62,2022-01-12
2792.63,2834.13,2022-01-11
2772.09,2784.95,2022-01-10
2699.87,2765.51,2022-01-09
2647.76,2692.47,2022-01-06
